Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
viral-labubu-dubai-chocolate-bar-3-52-oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/2d2cfe71c8b86855917421f9ad584f4047923a797c65e6b5f65c48f17822376f.jpg?v=1757019111,4,"",,,,,,,,
viral-labubu-dubai-chocolate-bar-3-52-oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/6045b065ac8fbd5e9110c27fc65f3345e5a170d0b660dd1206e35b3973b6263a.jpg?v=1757019111,5,"",,,,,,,,
greece-tasting-adventure,Greece Tasting Adventure,"Bring the flavors of ancient tradition and modern indulgence together in this beautifully curated Greek snack box. Featuring 6 iconic confections and cookies, each treat tells a story of Greece’s rich history, geography, and culture. The experience is made even deeper with an included guidebook that turns every bite into a cultural discovery.

Ideal for gifting, festive entertaining, or educational family fun. A thoughtful, ready-to-sell product that invites your customers to explore the world without leaving home.

What’s inside:

Buttery, flaky Baklava

Pistachio Loukoumi (Greek delight)

Tahini Cream Cookies

Pomegranate Jelly Candies

Orange &amp; Peanut Nougat

Chocolate-Covered Peanut Butter Wafer Bar",Universal Yums,,"","",false,Title,Default Title,,,,,,,,RTL-FG-GRCCANDY01,508.0234544,shopify,0,deny,manual,23.99,,true,true,'198168033739,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/671117092fe9127f4c12c87e5b4a62fc78b01b701e9b0d2ce123354da142d1c0.png?v=1757018324,1,"",false,,,,lb,,12.00,draft
greece-tasting-adventure,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/24257cc8e84f58f817e0e6744f11ad7e327030511da2b2976dd0e16c89858d91.jpg?v=1757018324,2,"",,,,,,,,
greece-tasting-adventure,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/904230c9ae9b48c5ead377c9bdb23a5c642392447480416e3e89d0447316449f.jpg?v=1757018325,3,"",,,,,,,,
greece-tasting-adventure,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/1fa9f06dbd0044f19c5e263c00ec0fe1434d36bbb279d634e3623d8af5d7b854.jpg?v=1757018324,4,"",,,,,,,,
italian-tasting-adventure,Italian Tasting Adventure,"Transport your customers to the heart of Italy with this indulgent collection of 7 regional snacks and sweets, including a centuries-old cookie recipe from Sicily. From classic tiramisu to savory taralli, every bite is a celebration of Italy’s rich culinary heritage. A full-color guidebook is included, turning each snack into an educational journey through Italy’s history, culture, and geography.

Perfect for holiday gifting, dinner parties, or hands-on cultural exploration for families and food lovers.

What’s inside:

Traditional Citrus &amp; Almond Cookies (from an ancient Sicilian recipe)

Soft Amaretti Cookies

Classic Tiramisu Cake

Italian Hazelnut Chocolate

Fruit Gelées

Tomato &amp; Oregano Taralli (savory crackers)

Chewy Fruit Candies",Universal Yums,,"","",false,Title,Default Title,,,,,,,,RTL-FG-ITACANDY02,784.7148001,shopify,0,deny,manual,23.99,,true,true,'197644020003,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/95bfae292e7f95a32bad64bb4a68c83ac110d5bfb41a6ec0921bed32b3f1cb9f.png?v=1757018322,1,"",false,,,,lb,,12.00,draft
italian-tasting-adventure,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/a8cd2873e6fb1ce91cfb136f0f93586c1121313ee401122db2a03c57c69451d4.jpg?v=1757018323,2,"",,,,,,,,
italian-tasting-adventure,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/f653d897d8aaa116155a783ee9b67941439363e8c2701864e78ecf1fa1e40ef4.jpg?v=1757018322,3,"",,,,,,,,
italian-tasting-adventure,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/8cf43edd34da872a1e87bbfa0d69fb7830a222b73f60dd2fd6ef07d2060a23b7.jpg?v=1757018322,4,"",,,,,,,,
germany-tasting-adventure,Germany Tasting Adventure,"Taste Germany: A Festive Culinary Adventure

Unwrap the magic of Germany with this curated box of 7 irresistible treats — a perfect mix of chocolates, confections, and savory bites that bring the rich flavors of Germany straight to your doorstep. Each box includes a beautifully designed guidebook that shares fascinating stories about German cuisine, culture, and geography, turning every bite into an immersive journey.

Perfect for holiday gifting, parties, or cozy nights in! A delightful, ready-to-sell gift option for customers looking for something truly unique and meaningful.

Inside you'll find:

Dark Chocolate Bonbons filled with Brownie Cream

Milk Chocolate Bar with Amarena Cherry Filling

Milk Chocolate Bar with Peppermint Cream Filling

Crispy Sour Cream Potato Sticks

Light and Creamy Cheesecake Wafers

Buttery Salted Caramels

Assorted Chewy Candies bursting with flavor",Universal Yums,,"","",false,Title,Default Title,,,,,,,,RTL-FG-DEUCANDY02,508.0234544,shopify,0,deny,manual,23.99,,true,true,'197644477296,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/f23b00884ab924631f195c310eac586c4b89c12ae3bce6dc19fc735d359965f1.png?v=1757018319,1,"",false,,,,lb,,12.00,draft
germany-tasting-adventure,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/d4bd0b1c65468d66d8f402a5304b371d0561cfae9825fb6ef4d2125402ac3baf.jpg?v=1757018320,2,"",,,,,,,,
germany-tasting-adventure,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/c8f0a6cd83976774ed317d0e9de6455fdbf9b93914955428371ec2af513ebcbd.jpg?v=1757018320,3,"",,,,,,,,
germany-tasting-adventure,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/fda006d8990384fc6697ce77dc30ffb326837e44d0deb8caa1fb33a8275b8b45.jpg?v=1757018320,4,"",,,,,,,,
korea-tasting-adventure,Korea Tasting Adventure,"Step into the vibrant world of South Korea with this exciting collection of 6 sweet and savory treats that capture the country’s pop-culture energy and deep-rooted food traditions. From spicy tteokbokki snacks to trendy choco pies and chewy candies, each item is a fun, flavorful gateway into Korean life. Includes a beautifully illustrated guidebook packed with fascinating facts about Korea’s cuisine, culture, and geography.

A perfect gift for K-culture fans, adventurous foodies, or families looking to snack and learn together. Great for holiday parties, classroom exploration, or cozy nights in.

What’s inside:

Spicy Tteokbokki Rice Snack

Honey Butter Pretzels (a Korean cult favorite)

Black Sugar Milk Tea Choco Pie

Blueberry Soda Chewy Candy

Juicy Peach Gummies

Strawberry Cream Sandwich Cookies",Universal Yums,,"","",false,Title,Default Title,,,,,,,,RTL-FG-KORCANDY01,571.5263862,shopify,0,deny,manual,23.99,,true,true,'197644318049,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/8e27941b2b283989e687af1dd5675f46aa2e869d29c008505f2e7288895bfec3.png?v=1757018317,1,"",false,,,,lb,,12.00,draft
korea-tasting-adventure,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/1389e463ddac745d51d21cbf0c66e01950e1e110be49764cb6210021983d087d.jpg?v=1757018318,2,"",,,,,,,,
korea-tasting-adventure,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/5c5add2de03402ab3152089a12e7e7d3c55eacc00870fcf5e2ad120b41917434.jpg?v=1757018318,3,"",,,,,,,,
korea-tasting-adventure,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/ae776dcda50b20430d2997424a37394d535d612deee2a2725b87a77eb26d4df4.jpg?v=1757018318,4,"",,,,,,,,
pickle-kit-orange,Pickle Kit - Orange,"The Pickle Mango Kit is our unique, one-of-a-kind kit inspired by the popular Chamoy Pickle Kit. We’re excited to bring you this vibrant kit, which includes a mango-flavored pickle and an assortment of eight items: Orange Takis, Salsagheti, Lucas Mango, Pulparindo Mango, our custom mango sticker, Tajín, and lime seasoning. As with all our products, we tested it in our stores first, receiving excellent reviews",Trend Zone,,"","",false,Title,Default Title,,,,,,,,,589.670081,shopify,0,deny,manual,16.99,,true,true,,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/0afda5db202a25003ca9841d3c7f69a5fe948b8978c402a23d3f408870cc7d40.jpg?v=1757014672,1,"",false,,,,lb,,7.50,draft
pickle-kit-orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/037001a4a3fb44763b33f9163e075ddab258079fb06788bd1127e10a75ebf57c.jpg?v=1757014674,2,"",,,,,,,,
pickle-kit-orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/daa3643129805c8399b493b880efb54055c8fc1c210c53734cff7a4b9cf16e8f.jpg?v=1757014674,3,"",,,,,,,,
pickle-kit-orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/2226fe0ba234a537e566a748cfeb57bc889ee88d0c2b078b92db8a3fbef184bc_96db8b18-59a5-4e44-b436-219f3e07856e.jpg?v=1757014673,4,"",,,,,,,,
pickle-kit-orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/0fede2cd207f57d36fd833c90ab3d88af2fc989a1d3967fefde1b40d7ae1b2bf_7120e467-f7aa-435b-a967-a56bc74b1beb.jpg?v=1757014673,5,"",,,,,,,,
pickle-kit-spicy,Pickle Kit - Spicy,"The Spicy Pickle Kit is a viral sensation, originating from social media and quickly becoming a hot seller. We are excited to offer you this beautiful kit, which includes 8 items: Spicy Pickle, Takis, Gushers, Fruit Roll-Up, spicy Lucas, our jalapeño sticker, Tajín, and Tabasco seasoning. As with all our previous products, we tested it in our stores first and received excellent reviews.",Trend Zone,,"","",false,Title,Default Title,,,,,,,,,589.670081,shopify,0,deny,manual,16.99,,true,true,,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/bc7e921318e4c084a3232ee13b219e53a481739399339403a2e077df6df6ec2a.jpg?v=1757014669,1,"",false,,,,lb,,7.50,draft
pickle-kit-spicy,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/9465eeb2243e85c23a3e4b3144585360cf3d1dd480d5ab0fbf85bcc761cef161.jpg?v=1757014671,2,"",,,,,,,,
pickle-kit-spicy,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/a65ad7b23a66ee89ec05f7cb526b0f7c0360b5ac7a94e69f01aa8d88027dd58f.jpg?v=1757014671,3,"",,,,,,,,
pickle-kit-spicy,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/8c4d2c1b87a169f56867481c18c122865ac720eea47e2fe3ed27cb37a5fd4ddd.jpg?v=1757014671,4,"",,,,,,,,
pickle-kit-spicy,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/2226fe0ba234a537e566a748cfeb57bc889ee88d0c2b078b92db8a3fbef184bc.jpg?v=1757014671,5,"",,,,,,,,
pickle-kit-spicy,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/0fede2cd207f57d36fd833c90ab3d88af2fc989a1d3967fefde1b40d7ae1b2bf.jpg?v=1757014671,6,"",,,,,,,,
dubai-chocolate-bar-pistachio-by-oasis-treasures-made-in-usa,Dubai Chocolate Bar Pistachio by Oasis Treasures Made in USA,"Discover the viral sensation your customers can’t get enough of — the Oasis Treasures Knafeh Pistachio Dubai Chocolate Bar! Featuring rich milk chocolate, pistachio-infused white chocolate, and a crunchy knafeh center, this 70g (2.45oz) bar is handcrafted in the USA and comes in full retail packaging with a PDQ display — ready to fly off your shelves.

We are North America’s largest wholesaler of Dubai Chocolate, with over 1.6 million bars sold and 10,000+ happy repeat wholesale customers.

Made in the U.S.
Shelf-ready PDQ packaging
Fast, temperature-controlled shipping (Insulation and Ice Packs)

Stock the luxury your customers are asking for!

",Showcase,,"","",false,Title,Default Title,,,,,,,,'41149,69.45633165625,shopify,0,deny,manual,10.99,,true,true,'802962411494,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/4b70c87861bd01a616d1dbaee07111d394d75a1caf2e06d911c6c05641dba168.jpg?v=1757014666,1,"",false,,,,oz,,5.99,draft
dubai-chocolate-bar-pistachio-by-oasis-treasures-made-in-usa,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/0ae488154bebe70d274477d18dd4bc8318324239b31a42335b2475adf9b0210f.png?v=1757014669,2,"",,,,,,,,
dubai-chocolate-bar-pistachio-by-oasis-treasures-made-in-usa,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/0cfc2836535050ee2c91420df588b0e211bbb892acc2f08e3c6c75c3b4cc6487.png?v=1757014670,3,"",,,,,,,,
dubai-chocolate-bar-pistachio-by-oasis-treasures-made-in-usa,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/1ac075c448aaa3339ded7fc656fa5f9d0da3b5c89c46627e5a81efcbc5ce8b4b.png?v=1757014669,4,"",,,,,,,,
dubai-chocolate-bar-pistachio-by-oasis-treasures-made-in-usa,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/fa43ce27f455fec2cc7deca1d146163d28828824304061ab563ab19879b22bb5.jpg?v=1757014668,5,"",,,,,,,,
dubai-chocolate-bar-pistachio-by-oasis-treasures-made-in-usa,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/3db266ee867b0355a9c1f51d20eda3eceb5778339b3f8169b28fe4643dffb799.jpg?v=1757014668,6,"",,,,,,,,
dubai-chocolate-bar-pistachio-by-oasis-treasures-made-in-usa,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/11348124e518c6a36710cc72ae1cee5a0dcd0d35f6b4f1566573f7b032c2348f.jpg?v=1757014668,7,"",,,,,,,,
dubai-chocolate-bar-pistachio-by-oasis-treasures-made-in-usa,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/08bf3a8c21ebee45ed0490be81a6d0a16aaa43080ac14e30a060fd953045249e.png?v=1757014668,8,"",,,,,,,,
samyang-corn-buldak-chicken-flavor-ramen-140g-5x8-40packs,"Samyang Corn Buldak Chicken Flavor Ramen–140g (5x8,40Packs)","Spice up your meals with a touch of corn-inspired sweetness! Samyang Corn Buldak Chicken Flavor Ramen combines the iconic fiery heat of the Buldak series with a deliciously unique twist—sweet and savory corn flavor. Perfectly balanced, this noodle experience captures the rich, smoky essence of grilled chicken and pairs it with the comforting sweetness of corn, delivering a delightful fusion in every bite.

Sweet Corn Fusion: A mouthwatering combination of spicy Buldak seasoning and corn, creating a slightly sweet yet bold flavor profile.
Soft, Chewy Noodles: Premium Korean-style noodles provide the ideal texture, soaking up the rich, flavorful sauce.
Spice Level: True to the Buldak name, expect a kick of heat to satisfy your craving for spice, balanced by the corn’s natural sweetness.
Versatile Cooking: Enjoy it stir-fried for a classic Buldak experience, or elevate your dish with toppings like cheese, cilantro, or fresh lime for a gourmet twist.",K Moitves,,"","",false,Title,Default Title,,,,,,,,ND1047SY,0.0,shopify,0,deny,manual,4.80,,true,true,,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/fbe952e64b4f2bcddc10bb88461b5877ec9c1668fb31e40d30f6220356f19057.jpg?v=1757014664,1,"",false,,,,lb,,2.40,draft
samyang-corn-buldak-chicken-flavor-ramen-140g-5x8-40packs,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/79bd7ccf92a608ebfa77eb43fe1998f4b2c0e2f17d4fee854b0a9fdacacbbe51.jpg?v=1757014665,2,"",,,,,,,,
samyang-corn-buldak-chicken-flavor-ramen-140g-5x8-40packs,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/12bc87f2cf5f383bfa9603c5925d1fed119925689259e4715156fd1ada82bf9a.jpg?v=1757014665,3,"",,,,,,,,
samyang-carbo-buldak-chicken-flavor-ramen-140g-pack-of-5,Samyang Carbo Buldak Chicken Flavor Ramen–140g (Pack of 5),"Indulge in the perfect fusion of heat and creaminess with Samyang Buldak Carbonara Hot Chicken Flavor Stir-Fried Ramen. Combining the fiery spice of Samyang's original Buldak ramen with the velvety richness of carbonara sauce, this mouthwatering instant noodle delivers an unforgettable taste experience. The creamy sauce mellows the heat, offering a harmonious blend of spice and smoothness for both spice enthusiasts and those looking for a milder yet flavorful kick.
Creamy and Spicy Delight: The perfect balance of fiery heat and creamy richness.
Unique Korean Taste: A creative twist on traditional Korean spicy ramen.
Versatile Dish: Enjoy it on its own or pair it with your favorite ingredients for a personalized touch.
Unleash your taste buds with the ultimate Buldak Carbonara Ramen – a fusion of bold Korean spice and rich creaminess that will keep you coming back for more. Perfect for sharing or enjoying solo, it’s a crowd-pleaser for spice lovers and comfort food enthusiasts alike!",K Moitves,,"","",false,Title,Default Title,,,,,,,,ND1015SY,6350.29318,shopify,0,deny,manual,4.00,,true,true,,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/f56dae7615586b7bea0bfaf32832e99f17942633c6d26412aeb497d8fdfe924d.jpg?v=1757014661,1,"",false,,,,lb,,2.00,draft
samyang-carbo-buldak-chicken-flavor-ramen-140g-pack-of-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/843e104f7cfabcad98ece0bd5c74c21f123b100c413d3ba8090721151df0caad.jpg?v=1757014663,2,"",,,,,,,,
samyang-carbo-buldak-chicken-flavor-ramen-140g-pack-of-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/e02c3282ed835fcf1f889c51f107a741cf7ad2792cbd093ef04b1fa77914c9e1.jpg?v=1757014663,3,"",,,,,,,,
samyang-carbo-buldak-chicken-flavor-ramen-140g-pack-of-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0955/7111/6310/files/fb1281ac022043c45039999fa1734f7d140a7a199e393c8aaeefa7d84b80e9d6.jpg?v=1757014663,4,"",,,,,,,,
